G1,G2,Subject,No,Data1,Data2,Data3,Labels
post2,control,dish1,n5,0.787110925,0.075693898,0.13719517,0
post2,control,dish1,n6,0.33951509,0.417576492,0.242908418,1
post2,control,dish1,n7,0.490432292,0.016739568,0.492828131,2
post2,control,dish1,n8,0.421842456,0.277642906,0.300514638,0
post2,control,dish1,n9,0.788398266,0.171748012,0.039853748,0
post2,control,dish1,n10,0.545215607,0.083971247,0.370813191,0
post2,control,dish1,n11,0.756070197,0.132069811,0.11185997,0
post2,control,dish6,n0,0.319186628,0.292775691,0.388037652,2
post2,control,dish6,n1,0.378190458,0.040891591,0.580918014,2
post2,control,dish6,n2,0.056808751,0.92189467,0.021296557,1
post2,control,dish6,n3,0.09371613,0.008259753,0.898024082,2
post2,control,dish6,n4,0.053817268,0.927977026,0.018205704,1
post2,control,dish6,n5,0.097630449,0.661599517,0.240770087,1
post2,control,dish6,n6,0.081007145,0.354329944,0.564662993,2
post2,control,dish6,n7,0.136278421,0.827125609,0.036595933,1
post2,control,dish6,n8,0.182410881,0.026844906,0.790744245,2
post2,control,dish6,n9,0.210413203,0.759749293,0.029837567,1
post2,control,dish6,n10,0.035309706,0.010564932,0.954125345,2
post2,control,dish6,n11,0.608435929,0.365690678,0.025873447,0
post2,control,dish8,n0,0.591535091,0.344486386,0.063978523,0
post2,control,dish8,n1,0.745648444,0.03953173,0.214819938,0
post2,control,dish8,n2,0.733240485,0.029722881,0.237036705,0
post2,control,dish8,n3,0.893503189,0.052035168,0.054461677,0
post2,control,dish8,n4,0.833971143,0.111526795,0.054502029,0
post2,control,dish8,n5,0.361126393,0.026577309,0.612296283,2
post2,control,dish8,n6,0.811454952,0.159167901,0.02937717,0
post2,control,dish8,n7,0.815691411,0.119279549,0.06502907,0
post2,control,dish8,n8,0.808935404,0.020856323,0.17020829,0
post2,control,dish8,n9,0.848808587,0.132669747,0.018521706,0
post2,control,dish8,n10,0.706887364,0.106147125,0.186965525,0
post2,control,dish8,n11,0.799160361,0.167030469,0.033809096,0
post2,control,dish10,n0,0.211518258,0.027143387,0.761338413,2
post2,control,dish10,n1,0.123207197,0.839553356,0.037239466,1
post2,control,dish10,n2,0.16149123,0.015431434,0.823077381,2
post2,control,dish10,n3,0.738960564,0.043644287,0.217395157,0
post2,control,dish10,n4,0.830912054,0.1449489,0.024139062,0
post2,control,dish10,n5,0.895187438,0.064197667,0.04061494,0
post2,control,dish10,n6,0.645817757,0.030704891,0.323477387,0
post2,control,dish10,n7,0.954452753,0.028030034,0.017517218,0
post2,control,dish10,n8,0.935944855,0.012969482,0.051085677,0
post2,control,dish10,n9,0.684384882,0.039972972,0.275642157,0
post2,control,dish10,n10,0.758000314,0.099745989,0.142253712,0
post2,control,dish10,n11,0.76614058,0.157711372,0.076147988,0
post2,escit,dish2,n0,0.842979848,0.039639413,0.117380746,0
post2,escit,dish2,n1,0.319212139,0.445848644,0.234939232,1
post2,escit,dish2,n2,0.067874685,0.029201755,0.902923524,2
post2,escit,dish2,n3,0.026801515,0.963391483,0.009806951,1
post2,escit,dish2,n4,0.083758421,0.021662014,0.894579589,2
post2,escit,dish2,n5,0.182281971,0.712579012,0.105139084,1
post2,escit,dish2,n6,0.133404344,0.835593462,0.031002203,1
post2,escit,dish2,n7,0.102729931,0.029679259,0.867590845,2
post2,escit,dish2,n8,0.679300189,0.036935192,0.283764601,0
post2,escit,dish2,n9,0.743388593,0.211091593,0.04551984,0
post2,escit,dish2,n10,0.659738481,0.307301879,0.032959666,0
post2,escit,dish2,n11,0.364119768,0.033126153,0.602754116,2
post2,mirt,dish4,n0,0.814570248,0.145436242,0.039993495,0
post2,mirt,dish4,n1,0.789343417,0.041340183,0.169316456,0
post2,mirt,dish4,n2,0.891789973,0.069488615,0.038721427,0
post2,mirt,dish4,n3,0.156548381,0.057598572,0.785853148,2
post2,mirt,dish4,n4,0.498209715,0.223070532,0.278719664,0
post2,mirt,dish4,n5,0.755526006,0.191585049,0.052889049,0
post2,mirt,dish4,n6,0.373474896,0.018414926,0.608110249,2
post2,mirt,dish4,n7,0.884768903,0.070281938,0.044949219,0
post2,mirt,dish4,n8,0.851246119,0.113846384,0.034907486,0
post2,mirt,dish4,n9,0.745167077,0.144960076,0.109872788,0
post2,mirt,dish4,n10,0.764067829,0.209888488,0.026043698,0
post2,mirt,dish4,n11,0.350452632,0.035397422,0.614149928,2
post2,mirt,dish5,n0,0.437755316,0.094593391,0.467651337,2
post2,mirt,dish5,n1,0.305773795,0.447211415,0.24701485,1
post2,mirt,dish5,n2,0.468283564,0.129790246,0.401926219,0
post2,mirt,dish5,n3,0.706062734,0.060066804,0.233870491,0
post2,mirt,dish5,n4,0.617227077,0.305161417,0.077611588,0
post2,mirt,dish5,n5,0.753675699,0.114196979,0.132127374,0
post2,mirt,dish5,n6,0.770899415,0.029160708,0.199939907,0
post2,mirt,dish5,n7,0.603642285,0.299153626,0.097204119,0
post2,mirt,dish5,n8,0.772455573,0.140748665,0.086795814,0
post2,mirt,dish5,n9,0.122799195,0.014005505,0.8631953,2
post2,mirt,dish5,n10,0.611384749,0.309964061,0.078651205,0
post2,mirt,dish5,n11,0.530918956,0.256541371,0.212539718,0
post2,mirt,dish7,n0,0.755251348,0.168799356,0.075949393,0
post2,mirt,dish7,n1,0.677257359,0.031954195,0.290788472,0
post2,mirt,dish7,n2,0.712757409,0.250425041,0.036817484,0
post2,mirt,dish7,n3,0.826131105,0.039919071,0.133949742,0
post2,mirt,dish7,n4,0.878228784,0.021049768,0.100721352,0
post2,mirt,dish7,n5,0.739910841,0.123463683,0.136625499,0
post2,mirt,dish7,n6,0.858533263,0.082291946,0.059174839,0
post2,mirt,dish7,n7,0.872555673,0.080881789,0.046562556,0
post2,mirt,dish7,n8,0.742828369,0.169387132,0.087784521,0
post2,mirt,dish7,n9,0.834872723,0.081877224,0.08325012,0
post2,mirt,dish7,n10,0.805760443,0.166577667,0.027661968,0
post2,mirt,dish7,n11,0.819311798,0.066645086,0.11404305,0
post2,mirt,dish9,n0,0.294468701,0.627479613,0.078051738,1
post2,mirt,dish9,n1,0.13953808,0.014589263,0.8458727,2
post2,mirt,dish9,n2,0.219009697,0.715242207,0.065748155,1
post2,mirt,dish9,n3,0.369690537,0.607090712,0.023218755,1
post2,mirt,dish9,n4,0.458735645,0.031945981,0.509318411,2
post2,mirt,dish9,n5,0.381892115,0.029375033,0.588732898,2
post2,mirt,dish9,n6,0.363902301,0.597067058,0.039030638,1
post2,mirt,dish9,n7,0.539783418,0.432849705,0.02736691,0
post2,mirt,dish9,n8,0.056928404,0.009288589,0.933783054,2
post2,mirt,dish9,n9,0.109219931,0.8591609,0.031619214,1
post2,mirt,dish9,n10,0.077457704,0.356900007,0.565642238,2
post2,mirt,dish9,n11,0.441113919,0.263592601,0.295293391,0
post2,tryp,dish3,n0,0.69206357,0.107874341,0.200062186,0
post2,tryp,dish3,n1,0.863019943,0.051785097,0.085195042,0
post2,tryp,dish3,n2,0.820086241,0.101568304,0.078345425,0
post2,tryp,dish3,n3,0.930894554,0.015041421,0.054064095,0
post2,tryp,dish3,n4,0.642364204,0.060751066,0.296884775,0
post2,tryp,dish3,n5,0.077558599,0.913431108,0.009010301,1
post2,tryp,dish3,n6,0.558171928,0.262551606,0.179276496,0
post2,tryp,dish3,n7,0.912115335,0.054876599,0.033008032,0
post2,tryp,dish3,n8,0.609936237,0.040547516,0.349516273,0
post2,tryp,dish3,n9,0.580927193,0.346650273,0.072422594,0
post2,tryp,dish3,n10,0.053236071,0.011160278,0.935603619,2
post2,tryp,dish3,n11,0.290443957,0.482689589,0.226866469,1
post3,control,dish1,n0,0.277166516,0.659692407,0.06314113,1
post3,control,dish1,n1,0.29192993,0.013603134,0.694466949,2
post3,control,dish1,n2,0.237891525,0.649670303,0.112438209,1
post3,control,dish1,n3,0.645491123,0.123123884,0.231384963,0
post3,control,dish1,n4,0.831081212,0.039534912,0.129383847,0
post3,control,dish1,n5,0.21877791,0.169793263,0.611428916,2
post3,control,dish1,n6,0.143064395,0.818923414,0.038012225,1
post3,control,dish1,n7,0.206979305,0.018546382,0.774474263,2
post3,control,dish1,n8,0.382663339,0.265686363,0.351650298,0
post3,control,dish1,n9,0.043955743,0.935143888,0.020900365,1
post3,control,dish1,n10,0.148663163,0.012625322,0.8387115,2
post3,control,dish1,n11,0.063739352,0.926314116,0.009946546,1
post3,control,dish6,n0,0.069594853,0.035024147,0.895381033,2
post3,control,dish6,n1,0.406678617,0.484927148,0.10839428,1
post3,control,dish6,n2,0.045980543,0.938447535,0.015571875,1
post3,control,dish6,n3,0.031920258,0.018518362,0.949561298,2
post3,control,dish6,n4,0.006806937,0.990193784,0.002999204,1
post3,control,dish6,n5,0.027376495,0.929714978,0.04290852,1
post3,control,dish6,n6,0.038429264,0.008002321,0.953568399,2
post3,control,dish6,n7,0.038935985,0.944824398,0.01623961,1
post3,control,dish6,n8,0.019668844,0.959721804,0.020609286,1
post3,control,dish6,n9,0.037378255,0.017051525,0.94557029,2
post3,control,dish6,n10,0.034972832,0.955356061,0.009671062,1
post3,control,dish6,n11,0.102622166,0.075096451,0.82228142,2
post3,control,dish10,n0,0.768909454,0.206688493,0.024402145,0
post3,control,dish10,n1,0.51463753,0.030531812,0.454830706,0
post3,control,dish10,n2,0.683659196,0.256341696,0.05999916,0
post3,control,dish10,n3,0.136672333,0.023326844,0.840000868,2
post3,control,dish10,n4,0.370182693,0.512033224,0.117784083,1
post3,control,dish10,n5,0.810929894,0.098638445,0.090431653,0
post3,control,dish10,n6,0.833432853,0.033029933,0.133537218,0
post3,control,dish10,n7,0.806337595,0.141145736,0.052516654,0
